name,norm_name,affiliation
Felix Stein,felix stein,Agiler Produktentwickler mit Fokus auf Teamdynamik
Christian Stein,christian stein,SYNGENIO AG
Alina Stein,alina stein,ZEISS Digitial Innovation
Frank Stepan,frank stepan,Software & Support Media GmbH
Manfred Steyer,manfred steyer,"Trainer, Berater und Architekt mit Fokus auf Angular und Architektur"
Marvin Stoppelkötter,marvin stoppelkotter,Finanz Informatik
Walery Strauch,walery strauch,Qubitoss GmbH
Rainer Stropek,rainer stropek,Preisgekrönter Softwarearchitekt | Microsoft MVP & Regional Director | Autor & Referent
Martin Stypinski,martin stypinski,"Gründer der Veemg GmbH und Vizedekan für ""Machine Learning for Software Engineers"". Leidenschaft für maschinelles Lernen und fortgeschrittene Softwareherausforderungen."
Aurélien Svevi,aurelien svevi,"Expert in Application Security, Team Integration, DevSecOps & Security Education"
Papick Taboada,papick taboada,
David Tanzer,david tanzer,
Daniel Terhorst-North,daniel terhorst north,Technology and Organizational Change Specialist
Sven Tessmann,sven tessmann,Comsysto Reply
Jan Thewes,jan thewes,
Sebastian Tiemann,sebastian tiemann,Apache Contributor & Java Community Engineering Experte
Sergej Tihonov,sergej tihonov,self employed
Frank Tingle,frank tingle,DevSecOps Architecture Expert
Kai Tödter,kai todter,Experte für Java- und Webtechnologien und Open-Source-Committer
Joshua Töpfer,joshua topfer,Experte für Ensemble Programming und verteilte Systeme
Stefan Toth,stefan toth,Berater für moderne Softwarearchitektur
Mario Trzensky,mario trzensky,Frontend-Entwickler bei Cologne Intelligence
Catalin Tudose,catalin tudose,Luxoft Romania
Tal Uscher,tal uscher,Expert for Transformation and Organizational Design
Rogier van Boxtel,rogier van boxtel,Axway
Mike van der Bijl,mike van der bijl,Cybersecurity Expert with Full-Stack & IT Management Experience
Tammo van Lessen,tammo van lessen,Experte für normalgewichtige Architekturen – für Menschen und Agenten
Thomas Velden,thomas velden,SCHUFA Holding AG
Gien Verschatse,gien verschatse,Consultant & Software Engineer specialized  in Domain Driven Design & Software Architecture
Natale Vinto,natale vinto,"Developer Experience, Evangelism Director @ Red Hat | AI Specialist"
Almudena Vivanco González,almudena vivanco gonzalez,"Performance Engineering Expert, DevOps Advocate & STEM Ambassador"
David vlijmincx,david vlijmincx,
Daniel Voelsen,daniel voelsen,Stiftung Wissenschaft und Politik
Markus Voelter,markus voelter,Freiberuflich
Lars Vogel,lars vogel,Experte für Eclipse-Entwicklung und Android-Schulungen.
Karsten Voges,karsten voges,"Experte für Enterprise Architecture, CIO Advisory und die Verbindung von tiefem Tech-Know-how mit strategischer Business-Exzellenz"
Christian Voigt,christian voigt,Experte für Java-Entwicklung & Softwarelösungen im ÖPNV
Alexander von Zitzewitz,alexander von zitzewitz,Serial Entrepreneur | Experte für Softwarearchitektur & Qualität
Michael Voss,michael voss,Experte für technische Konzepte & effiziente Softwarelösungen
Merlin Walter,merlin walter,Instaclustr
Sandra Warmbrunn,sandra warmbrunn,smartsteuer GmbH
Hillel Wayne,hillel wayne,Windy Coast Consulting
Wolfgang Weigend,wolfgang weigend,"Experte für Java-Technologie, GraalVM und Unternehmensarchitektur"
Till Weinert,till weinert,Porsche Digital
Alexander Weißhaupt,alexander wei haupt,Experte für Business-Analyse und Kreditsoftware
Alex Wellnitz,alex wellnitz,"Experte für DevOps, skalierbare Lösungen & Prozessautomatisierung"
Sarah Wells,sarah wells,"Microservices & DevOps Leader, Speaker, Author"
Carsten Wendt,carsten wendt,Finanz Informatik
Christian Wenz,christian wenz,Arrabiata Solutions GmbH
Björn Wenzel,bjorn wenzel,DB Schenker
Matthias Weßendorf,matthias we endorf,
Ralf Westbrock,ralf westbrock,makeproductsrock.com
Marek Wester,marek wester,Schenker AG
Christian Weyer,christian weyer,Gen-AI-Experte für moderne Softwarelösungen | Microsoft MVP & Google GDE | 25+ Jahre Erfahrung
Mike Wiesner,mike wiesner,MHP Management- und IT-Beratung GmbH
René Wilby,rene wilby,Experte für Full-Stack-Webapps & DevOps
Stefan Wilk,stefan wilk,Shaping the cloud foundations for the next generation of digital banking
Kevin Wittek,kevin wittek,Docker
Marcus Wojtusik,marcus wojtusik,AUDI AG
Stefan Wolf,stefan wolf,Gradle
Eberhard Wolff,eberhard wolff,SWAGLab
Janek Wonner,janek wonner,Conrad Electronics
Tobias Wörenkämper,tobias worenkamper,REWE digtal GmbH
Maximilian Wörner,maximilian worner,Infrastructure- & Plattformstratege | DevOps & Automatisierung
Christian Wörz,christian worz,Freiberuflicher Fullstack-Entwickler für Java und Kotlin
Johannes Wu,johannes wu,Accenture
Tim Wüllner,tim wullner,Experte für Machine-Learning-Integration in komplexen Webanwendungen
Erkan Yanar,erkan yanar,Linux- und DevOps-Berater mit Fokus auf MySQL und Container
Xin Yao,xin yao,"DDD & Sociotechnical Architecture Consultant, Speaker"
Isabella Zaczek,isabella zaczek,Exela Technologies
Manuel Zapf,manuel zapf,Solo.io
René Zarwel,rene zarwel,"Experte für Microservices, Low-Code & Developer UX"
Oliver Zeigermann,oliver zeigermann,"Experte für Softwareentwicklung mit 30 Jahren Erfahrung, spezialisiert auf maschinelles Lernen."
Dr. Olaf Zimmermann,dr olaf zimmermann,Eastern Switzerland University of Applied Sciences
Tim Zöller,tim zoller,Gründer & Spezialist für JVM Technologien
Stefan Zörner,stefan zorner,Softwarearchitekt bei embarc Software Consulting GmbH & Board-Mitglied iSAQB
Buhake Sindi,buhake sindi,"Senior Solutions Architect, Enterprise Java Developer"
Aljoša Vister,aljosa vister,Software Architect & Developer | UNS DataHub
Kristjan Cuznar,kristjan cuznar,MES Development Engineer
Daniel Overby Hansen,daniel overby hansen,"Oracle, Product Manager"
Karin Patenge,karin patenge,Oracle | Product Management Spatial & Graph
Richard Martens,richard martens,Solution Designer at the DOC
Kim Berg Hansen,kim berg hansen,"Lead Developer, Cegal Danmark A/S"
Robert Čmrlec,robert cmrlec,Programer
Marco Sussitz,marco sussitz,Software developer at Dynatrace
Renée Wikestad,renee wikestad,Product Manager Oracle Spatial and Graph
Alexis Zrimec,alexis zrimec,Slovenian Environment Agency
Jan Jež,jan jez,IGEA d.o.o.
Martin Bach,martin bach,Senior Principal Product Manager
Marcin Przepiorowski,marcin przepiorowski,Delphix
Gianni Ceresa,gianni ceresa,DATAlysis LLC
Mirela Ardelean,mirela ardelean,APEX Developer | Equip Gmbh | Oracle ACE Director
Boštjan Štor,bostjan stor,Development Consultant @Endava
Marin Niehues,marin niehues,Founder & Principal Consultant
Rodrigo Jorge,rodrigo jorge,Oracle Product Manager
Mojca Gros,mojca gros,"Smartq, BI Consultant"
Matej Zeleznik,matej zeleznik,Head of infrastructure @Open Line Vitaly
Michiel Daerden,michiel daerden,E-Health Consultant bij Open Line B.V.
Petro Velychko,petro velychko,Independent consultant
dr. Mark Little,dr mark little,"Vice President, Middleware Engineering @IBM"
Neil Chandler,neil chandler,Oracle Database Expert
Mike Durran,mike durran,Oracle Analytics Product Manager
Lucas Hirschegger,lucas hirschegger,Senior Oracle APEX Consultant | Oracle ACE Associate
Matej Nedić,matej nedic,Infinum
Jan Martiska,jan martiska,Quarkus engineer
Rok Garbas,rok garbas,"Flox, Software Engineer"
Ariel David Jančar,ariel david jancar,Senior Software Engineer @ Celtra
Urh Srečnik,urh srecnik,Oracle ACE Associate | DBA Team Lead
Gilson Martins,gilson martins,GGBR Solutions - Oracle ACE Director
Leon Stanko,leon stanko,Hrc d.o.o. - Lead software engineer
Aleš Čadež,ales cadez,Co-founder & CEO
Mitja Golouh,mitja golouh,"3GEN d.o.o, DBA"
Žiga Vaupot,ziga vaupot,Oracle ACE Pro & Director @ SmartQ
Sandi Holub,sandi holub,Data architect @SmartQ
Vili Tajnić,vili tajnic,Oracle Developer Evangelist
Andrej Pashchenko,andrej pashchenko,Accenture
Aleksandar Stoisavljevic,aleksandar stoisavljevic,"NovaCode Serbia, Software Architect"
Patrik Duditš,patrik dudits,"Software Engineer for Java Cloud Runtimes, Payara"
Mohamed Mortadha Manai,mohamed mortadha manai,Senior AI Engineer | AI Expert | Netflix
Yishai Beeri,yishai beeri,CTO at LinearB
Dominik Žnidaršič,dominik znidarsic,Developer
Werner Keil,werner keil,"Director, CATMedia"
Erik van Roon,erik van roon,EvROCS
Øyvind Isene,yvind isene,Enesi Consulting AS
Scott Sosna,scott sosna,Independent Consultant
Robert Korosec,robert korosec,Oracle
Monika Lewandowska,monika lewandowska,Autonomous
Kamil Stawiarski,kamil stawiarski,ORA-600
Dani Schnider,dani schnider,Callista
Sergej Rožman,sergej rozman,Abakus plus d.o.o.
Akihiro Nishikawa,akihiro nishikawa,"Cloud Solution Architect, Microsoft"
Atsushi,atsushi,"CodeRabbit, Developer Advocate"
Ayako Hayasaka,ayako hayasaka,Software Engineer at LY Corporation
Ayana Murakami,ayana murakami,バックエンドエンジニア
Cassandra Chin,cassandra chin,"Book Author, Keynote Speaker, Podcast Host, DEI Intern, Computer Science Student"
Chavdar Dimitrov,chavdar dimitrov,株式会社コドモン
Daishi Tabata,daishi tabata,富士通株式会社 ソフトウェアエンジニア
gara,gara,バックエンドエンジニア
Hirokuni Maeta,hirokuni maeta,Cybozu
igu,igu,システムエンジニア
irof,irof,個人事業主
Junhee Lee,junhee lee,株式会社カサレアル
Ken Sipe,ken sipe,"Code Mentor, Technical Kung Fu Artist"
Kenji Kazumura,kenji kazumura,"Fujitsu Limited, Senior Architect"
koki-hoshihara,koki hoshihara,バックエンドエンジニア / ライブラリ開発、クラウドネイティブ、IDaaS、パフォーマンスチューニング
Lambig,lambig,株式会社ニーリー Architectureチーム テックリード
Masaki Yamakawa,masaki yamakawa,"ULS Consulting, Inc"
Masanori Tani,masanori tani,"Software Engineer, Cybozu"
Masatoshi Tada,masatoshi tada,株式会社クレディセゾン
masuda220,masuda220,有限会社システム設計 代表
Negima,negima,株式会社NTTデータフィナンシャルテクノロジー
nrs / Masanobu Naruse,nrs masanobu naruse,Founder of NARUSEMI / Programmer at CoDMON Inc.
Saoko Uranaka,saoko uranaka,株式会社コドモン
Shigeki Shoji,shigeki shoji,トレノケート株式会社
shimashima35,shimashima35,プログラマー
Shun Watanabe,shun watanabe,株式会社野村総合研究所
Stephen Chin,stephen chin,"VP of Developer Relations, Neo4j"
Takahiro Nagao,takahiro nagao,"Software Engineer, Fujitsu Limited"
Takeshi Miyajima,takeshi miyajima,株式会社サンアーチ / ソフトウェアエンジニア
Takumi Endo,takumi endo,株式会社キャリオット プロダクト開発部
Toru Takahashi,toru takahashi,Backend Engineer
Wagyu,wagyu,ソフトウェアエンジニア
Yohei Kajiro,yohei kajiro,株式会社コドモン
Yoshihiko Minami,yoshihiko minami,STORES株式会社
Yuichi Sakuraba,yuichi sakuraba,Java in the Box
Yuji Nakagawa,yuji nakagawa,出前館
YujiSoftware,yujisoftware,YujiSoftware
Yusuke Saito,yusuke saito,WealthNavi Inc. Software Engineer
yuya296,yuya296,Enterprise Java Engineer in Financial Systems
Yuya Miyamoto,yuya miyamoto,Backend Engineer
荻原 利雄,,株式会社 豆蔵 執行役員 主幹ソフトウェアエンジニア
Anton Arhipov,anton arhipov,JetBrains
Atila Fassina,atila fassina,Databricks and SolidJS
Erik Rasmussen,erik rasmussen,American TypeScript Slinger living in Spain 🇪🇸
Martijn Verburg,martijn verburg,Principal Group SWE Manager (Java & Golang) at Microsoft
A N M Bazlur Rahman,a n m bazlur rahman,Hammerspace
Andrea Peruffo,andrea peruffo,IBM
Andrei Novov,andrei novov,BNP Paribas
Andy Damevin,andy damevin,Lead of the Quarkus Web story -- Creator of Roq SSG -- IBM
Catarina Ventura Gamboa,catarina ventura gamboa,PhD Researcher @ CMU & University of Lisbon
Charly Gomez,charly gomez,Software Engineer @Sentry
Dan Neciu,dan neciu,CareerOS
Daniel Afonso,daniel afonso,Senior Developer Advocate at PagerDuty
Faris Aziz,faris aziz,Smallpdf
Harshil Agrawal,harshil agrawal,Developer Advocate @Cloudflare
Jarosław Pałka,jaros aw pa ka,staff software engineer / team lead / benchmarking infrastructure at Neo4j
Luis Ventura,luis ventura,Product Engineer @ Codacy
Luqman Saeed,luqman saeed,Payara Services Ltd - Technical Writer
Mário Zenha-Rela,mario zenha rela,Software Engineering Researcher
Mikhail Korolev,mikhail korolev,Senior Engineer / Developer Experience @ Toptal
Nuno Lourenço,nuno lourenco,
Penousal Machado,penousal machado,
Ramona Schwering,ramona schwering,Auth0
Ricardo Costa,ricardo costa,MSc Student @ University of Lisbon
Ricardo Magalhães,ricardo magalhaes,DevOps Engineer @ xgeeks
Rita Castro,rita castro,Software Developer
Sara Vieira,sara vieira,Engineer at geosurge. All around nerd.
Sergey Beryozkin,sergey beryozkin,"Software Engineer, IBM"
Shaaf Syed,shaaf syed,Developer Advocate
Adele Carpenter,adele carpenter,Trifork
Akniyet Arysbayev,akniyet arysbayev,Delivery Hero (Berlin)
Aleksei Zinovev,aleksei zinovev,JetBrains
Alessio Della Motta,alessio della motta,Google
Alexander Sysoev,alexander sysoev,JetBrains
Anastasiia Birillo,anastasiia birillo,JetBrains Research
Andrey Bragin,andrey bragin,JetBrains
Anna Kozlova,anna kozlova,JetBrains
Arnaud Giuliani,arnaud giuliani,Kotzilla
Artem Kobzar,artem kobzar,JetBrains
Aurimas Liutikas,aurimas liutikas,Google
Ben Kadel,ben kadel,
Benedict Kerres,benedict kerres,OpenAI
Bernd Prünster,bernd prunster,A-SIT Plus
Bowen Feng,bowen feng,Google
Brian Norman,brian norman,JetBrains
Chantal Loncle,chantal loncle,JetBrains
Christian Ryan,christian ryan,Anthropic PBC
Dan Kim,dan kim,
Daniel Santiago Rivera,daniel santiago rivera,Google
Daniil Karol,daniil karol,JetBrains Research
Denis Ambatenne,denis ambatenne,JetBrains
Duncan McGregor,duncan mcgregor,
Elif Bilgin Morris,elif bilgin morris,Google
Eric Kuck,eric kuck,
Filipp Zhinkin,filipp zhinkin,JetBrains
Gabriele Pappalardo,gabriele pappalardo,JetBrains
Gleb Lukianets,gleb lukianets,JetBrains
Hadi Hariri,hadi hariri,
Hammad Akram,hammad akram,H&M
Huyen Tue Dao,huyen tue dao,Netflix
Ian Botsford,ian botsford,Amazon
Ian Lake,ian lake,Google
Ian Leshan,ian leshan,
Idan Nakav,idan nakav,Uber
Jake Wharton,jake wharton,Skylight
Jeffrey van Gogh,jeffrey van gogh,Google
Jessalyn Wang,jessalyn wang,Amazon
Jesse Wilson,jesse wilson,
Joffrey Bion,joffrey bion,JetBrains
John O'Reilly,john o reilly,Neat
Konstantin Tskhovrebov,konstantin tskhovrebov,JetBrains
Ksenia Shneyveys,ksenia shneyveys,JetBrains
Lauren Darcey,lauren darcey,
Lena Reinhard,lena reinhard,
Marat Akhin,marat akhin,JetBrains
Marc Reichelt,marc reichelt,
Marcello Galhardo,marcello galhardo,Google
Marcin Mycek,marcin mycek,JetBrains
Maria Krishtal,maria krishtal,JetBrains
Márton Braun,marton braun,JetBrains
Matt Dyor,matt dyor,
Meike Felicia Hammer,meike felicia hammer,
Merlin Pahic,merlin pahic,EIDU
Michail Zarečenskij,michail zarecenskij,
Michal Harakal,michal harakal,Deutsche Telekom AG
Mohamed Ben Rejeb,mohamed ben rejeb,
Nat Pryce,nat pryce,
Natasha Murashkina,natasha murashkina,JetBrains
Nicole Terc,nicole terc,HubSpot
Oliver Okrongli,oliver okrongli,infix
Omico Wang,omico wang,Kuaishou Technology
Pamela Hill-Galloway,pamela hill galloway,JetBrains
Paul Merlin,paul merlin,
Phil Burk,phil burk,
Rahul Behera,rahul behera,Airbnb
Rooz SF,rooz sf,Moderne
Olivier ABDELNOUR,olivier abdelnour,Takima
Khadija ABDELOUALI,khadija abdelouali,IPPON Technologies
Jules AGOSTINI,jules agostini,Zenika
Mohamed AIT ABDERRAHMAN,mohamed ait abderrahman,Thoth Technologies
Modeste ASSIONGBON,modeste assiongbon,Freelance
Vincent AUBRUN,vincent aubrun,Manomano
Florent Albert,florent albert,Shodo Nantes
Mickaël Alves,mickael alves,Zenika
Pierre Andrieux,pierre andrieux,Capgemini
Lionel Armanet,lionel armanet,Salesforce
Sara Attallah-Gherardi,sara attallah gherardi,Indépendante
Marjorie Aubert,marjorie aubert,Comet Meetings
Lucas Audart,lucas audart,Kolecto
Alexia Audevart,alexia audevart,datactik
Lætitia Avrot,l titia avrot,EDB
Jonathan BARANZINI,jonathan baranzini,Talan
Jerome BATON,jerome baton,
HELA BEN KHALFALLAH,hela ben khalfallah,
Benjamin BERNARD,benjamin bernard,Crédit Mutuel Arkéa
Frédéric BISSON,frederic bisson,
Thomas BLAISOT,thomas blaisot,onepoint
Said BOUDJELDA,said boudjelda,SCIAM
Jason BOURLARD,jason bourlard,Sopra Steria
Caroline BOYER,caroline boyer,Sopra Steria Next
Jean-Philippe Baconnais,jean philippe baconnais,Zenika
Geoffrey Beausire,geoffrey beausire,Criteo
Gwenaël Bec,gwenael bec,Sopra Steria
Simon Bedard,simon bedard,
Jean-Philippe Bempel,jean philippe bempel,Datadog
Romain Benassi,romain benassi,Publicis Sapient
Zineb Bendhiba,zineb bendhiba,Red Hat
Nicolas Benhamou,nicolas benhamou,MongoDB
Guillaume Benoot,guillaume benoot,Onepoint
Marion Beretti,marion beretti,CGI
Emmanuel Bernard,emmanuel bernard,Red Hat
Florian Bernard,florian bernard,OpenAirlines
Ivan Béthus,ivan bethus,onepoint
Yohan Bismuth,yohan bismuth,Gens de confiance
Luis Blanche,luis blanche,Mirakl
Nailya Bogrova,nailya bogrova,Sii Ouest
Paul Boisson,paul boisson,Ippon Technologies
Alice Bonhomme-Biais,alice bonhomme biais,Freelance
Julien Botella,julien botella,Smartesting
Olivier Bourgain,olivier bourgain,Mirakl
Philippe Bourgau,philippe bourgau,Murex
Benjamin Bourgeois,benjamin bourgeois,Zenika
François Bouteruche,francois bouteruche,Microsoft
Fanny Bouton,fanny bouton,
Charles Bouttaz,charles bouttaz,Energy Pool
Yves Brissaud,yves brissaud,Dagger
Sébastien Buchoux,sebastien buchoux,Onepoint
Bruce Bujon,bruce bujon,Datadog
Julien Buret,julien buret,SNCF Connect & Tech
Audren Burlot,audren burlot,Max Digital Services
Antoine CANDY,antoine candy,Worldline
Anis CHAABANI,anis chaabani,Indépendant
Omid CHEHREH GOSHA,omid chehreh gosha,Ewake.ai
Ludovic CHOMBEAU,ludovic chombeau,Leroy Merlin
Maxime CLEMENT,maxime clement,Docker
Aurélien COUDERC,aurelien couderc,Crédit Agricole Corporate & Investment Bank
Jean-Yves CRONIER,jean yves cronier,Crédit Agricole - Payment Services
Manuel Camargo,manuel camargo,Theodo Fintech
Frédéric Camblor,frederic camblor,4sh
Thomas Cami,thomas cami,Talan
Mathieu Cans,mathieu cans,Orange
Alexandre Carbenay,alexandre carbenay,Zenika
Manon Carbonnel,manon carbonnel,Shodo
Nathan Castelein,nathan castelein,Shodo Lille
Lucie Castier,lucie castier,Adeo
Benjamin Cavy,benjamin cavy,MAIF
Eva Celhabe,eva celhabe,Thales
Sylvain Chambon,sylvain chambon,MongoDB
Thierry Chantier,thierry chantier,Dataiku
Jérémy Chauvin,jeremy chauvin,Shodo Lyon
Guillaume Chervet,guillaume chervet,AXA France
Pierre Chesneau,pierre chesneau,SopraSteria
Florine Chevrier,florine chevrier,Ippon
Houssem Chihoub,houssem chihoub,Databricks
Luc Chmielowski,luc chmielowski,PayFit
Nahel Chokairi,nahel chokairi,MFP Michelin
"Alexis ""Horgix"" Chotard",alexis horgix chotard,PayFit
Ludovic Cinquin,ludovic cinquin,WhereWeGo
Ophélie Coelho,ophelie coelho,
Benoit Colin,benoit colin,Bedrock
Luca Corrieri,luca corrieri,Theodo Cloud
Thomas DA ROCHA,thomas da rocha,Lenra
Patrice DE SAINT STEBAN,patrice de saint steban,Zenika
Sylvain DEDIEU,sylvain dedieu,Criteo
Antoine DESSAIGNE,antoine dessaigne,Axway
Ane DIAZ DE TUESTA,ane diaz de tuesta,Datadog
Philippe DIDIERGEORGES,philippe didiergeorges,Microsoft
Lansana DIOMANDE,lansana diomande,TAKIMA
Kevin Davin,kevin davin,Gradle
Geoffrey De Smet,geoffrey de smet,Timefold
Sylvain Decout,sylvain decout,Shodo
David Delabassée,david delabassee,Oracle
Valentin Deleplace,valentin deleplace,Google
Sébastien Deleuze,sebastien deleuze,Broadcom
Stephane Derosiaux,stephane derosiaux,Conduktor
Benoît Dissert,benoit dissert,Yajade
Laurent Doguin,laurent doguin,Couchbase
Jean-Michel Doudoux,jean michel doudoux,Sciam
Julien Dubois,julien dubois,Microsoft
Rachel Dubois,rachel dubois,Bttrways
Vincent Dubois,vincent dubois,Primary Medical
Laurent Duclay,laurent duclay,Crédit Agricole Assurances
Gérôme EGRON,gerome egron,WeScale
Guillaume EHRET,guillaume ehret,Dev-Mind
Pierre Echégut,pierre echegut,AXA France
François Eckert,francois eckert,Big ACL
Clement Escoffier,clement escoffier,Red Hat
Arnaud Esteve,arnaud esteve,Shift Technology
Pablo Farey,pablo farey,Betclic Group
Sébastien Ferrer,sebastien ferrer,OVHcloud
Chaker Fezai,chaker fezai,Sciam
Remi Forax,remi forax,Université Gustave Eiffel
Lilian Forget,lilian forget,Apside
Thomas Froment,thomas froment,Eclipse Foundation
Alexandre Fruchaud,alexandre fruchaud,Noscendi
Christophe Furmaniak,christophe furmaniak,Decathlon
Erwan GEREEC,erwan gereec,Doctolib
Hajar GHARBI,hajar gharbi,RS2i
Océane GILLARD,oceane gillard,Zenika
Vincent Galloy,vincent galloy,QuickSign
Jean-François Garreau,jean francois garreau,SFEIR
Henri Gauffriau,henri gauffriau,Onepoint
Jérôme Gauthier,jerome gauthier,Sopra Steria
Denis Germain,denis germain,Lucca
Théo Gianella,theo gianella,Zenika
Didier Girard,didier girard,SFEIR
Nicolas Giraud,nicolas giraud,onepoint
Thibaut Giraud,thibaut giraud,Monsieur Phi
Anne-Sophie Girault le Mault,anne sophie girault le mault,Publicis Sapient
Yann Gloriau,yann gloriau,Sopra Steria
Henri Gomez,henri gomez,Wescale
Antonio Goncalves,antonio goncalves,Microsoft
Peter Goron,peter goron,Criteo
Maxime Gosselin,maxime gosselin,Oodrive
Claire Gourcy,claire gourcy,Michelin
Tugdual Grall,tugdual grall,GitHub
Jordane Grenat,jordane grenat,Comet
Eric Grenon,eric grenon,Microsoft France
Emmanuel Guérin,emmanuel guerin,Criteo
Yann HELLEBOID,yann helleboid,ORANGE
Julien Haumont,julien haumont,Zenika
Arnaud Héritier,arnaud heritier,Doctolib
Antoine Irisson,antoine irisson,D-EDGE
Virginie JUGIE,virginie jugie,Pigment
Pauline Jamin,pauline jamin,Agicap
Stephan Janssen,stephan janssen,Devoxx
Tony Jarriault,tony jarriault,Sogeti
Paul Jeannot,paul jeannot,Sêmeia
Christophe Jollivet,christophe jollivet,Apside
Thomas Jouve,thomas jouve,Sopra Steria
Luc Julia,luc julia,
Fanny KLAUK,fanny klauk,Apside
Dimitrios Kafetzis,dimitrios kafetzis,Red Hat
Sébastien Keller,sebastien keller,Takima
Sherine Khoury,sherine khoury,Red Hat
Henry LAGARDE,henry lagarde,Datadog
Éric LE MERDY,eric le merdy,QuickSign
Guillaume LEBLONDEL,guillaume leblondel,La poste
Alain LESAGE,alain lesage,DALIBO
Aymeric Lagier,aymeric lagier,Thales
Jonathan Lagneaux,jonathan lagneaux,Zenika
François-Xavier Lair,francois xavier lair,Onepoint
Victor Lambret,victor lambret,Agicap
Yannick Lambruschi,yannick lambruschi,Mirakl
Guillaume Lapierre,guillaume lapierre,Sénat
Johana Lavigne,johana lavigne,
Yann-Thomas Le Moigne,yann thomas le moigne,Apside
Quentin Lebourgeois,quentin lebourgeois,Sopra Steria
Laurent Leca,laurent leca,PayFit
Sébastien Lecacheur,sebastien lecacheur,Odigo
Samuel Lefebvre,samuel lefebvre,Shodo
Théotime Levêque,theotime leveque,Back Market
Philippe Llerena,philippe llerena,Fortiche production
Pablo Lopez,pablo lopez,WeScale
Mathilde Lorrain,mathilde lorrain,Takima
Damien Lucas,damien lucas,Onepoint
Djordje Lukic,djordje lukic,Docker
Muriel Lusseau,muriel lusseau,
Vivien MALEZE,vivien maleze,Ippon Technologies
Cyril MARIN,cyril marin,MiiMOSA
Fabien MARTIN,fabien martin,Everial
CYRILLE MARTRAIRE,cyrille martraire,Arolla
Arnaud MARY,arnaud mary,BforBank
Antoine MAYER,antoine mayer,WeScale
Simon MERCIER,simon mercier,Worldline
Johnathan MEUNIER,johnathan meunier,AXA France
Guillaume MOIROD,guillaume moirod,Independant
Louis-Guillaume MORAND,louis guillaume morand,MICROSOFT
Hajer Mabrouk,hajer mabrouk,Somatics Global
Anthony Maffert,anthony maffert,Winamax
Mirna Mahfoud,mirna mahfoud,Murex
Aude Malabat,aude malabat,Michelin
Willy Malvault,willy malvault,BpiFrance
Camille Marginedes,camille marginedes,Publicis Sapient
Lucas Marques,lucas marques,Theodo Cloud
Barbara Martin,barbara martin,Michelin
Emeric Martineau,emeric martineau,Crédit Agricole Technologies & Services
Nicolas Massé,nicolas masse,Red Hat
Benoît Masson,benoit masson,OVHcloud
Jérôme Masson,jerome masson,WeScale
Guillaume Mathieu,guillaume mathieu,Wescale
Loïc Mathieu,loic mathieu,Kestra Technologies
David Maurin,david maurin,Onepoint
Aurélien Maury,aurelien maury,WeScale
Guillaume Mazollier,guillaume mazollier,Back Market
Nicolas Mengin,nicolas mengin,Traefik Labs
Florian Meuleman,florian meuleman,Takima
Elodie Mielczareck,elodie mielczareck,
Kim-Adeline Miguel,kim adeline miguel,GitHub
François Mockers,francois mockers,PayLead
Paul Molin,paul molin,Theodo
Alexandre Moray,alexandre moray,Takima
Alexis Morelle,alexis morelle,WeScale
Benoit Moussaud,benoit moussaud,Microsoft
Jérémy Nadal,jeremy nadal,Ippon Technologies
Bertrand Nau,bertrand nau,WeScale
Iris Naudin,iris naudin,Octo Technology
Alexandre Navarro,alexandre navarro,BNP Paribas
François Nollen,francois nollen,SNCF Connect & Connect
Loïc Ortola,loic ortola,Takima
Naima Ouarti,naima ouarti,Equisign
Alexandre POICHET,alexandre poichet,SNCF Connect & Tech
Olivier PONCET,olivier poncet,ARNEO
Bertrand Paquet,bertrand paquet,Doctolib
Sandra Parlant,sandra parlant,GitHub
Nicolas Payneau,nicolas payneau,Thales
David Pequegnot,david pequegnot,Worldline
Ambre Person,ambre person,OVHcloud
Jérôme Petazzoni,jerome petazzoni,
Daniel Petisme,daniel petisme,Confluent
Laurent Picard,laurent picard,Google
Carmen Piciorus,carmen piciorus,La Poste - BSCC
Paul-Henri Pillet,paul henri pillet,Gatling Corp
Paul Pinault,paul pinault,DM91.tech
Bernard Pons,bernard pons,D-EDGE
Benoit Prioux,benoit prioux,Alan
Yann Prono,yann prono,MAIF
Etienne Puissant,etienne puissant,Betclic
Flavien Quesnel,flavien quesnel,Criteo
Steve RIGANO,steve rigano,Crédit Agricole Technologies & Services
David ROBIN,david robin,JFrog
Johan ROUVE,johan rouve,Comet
Romain ROZEWICZ,romain rozewicz,ARGIOS
Lize Raes,lize raes,Oracle
Johann Rakotoharisoa,johann rakotoharisoa,Comet
Alain Regnier,alain regnier,Kubo Labs
René Ribaud,rene ribaud,Red Hat
Mathilde Rigabert,mathilde rigabert,
Frédérik Rouleau,frederik rouleau,Confluent
Julien Roy,julien roy,Perspecteev
Manuel Ryan,manuel ryan,Swissquote Bank
Véronique SERMAGE,veronique sermage,onepoint
Antoine Sabot-Durand,antoine sabot durand,SCIAM
Charles Sabourdin,charles sabourdin,Freelance
Brice Saccucci,brice saccucci,MongoDB
Amadou Sall,amadou sall,Air France
Bastien Sautéjeau,bastien sautejeau,Betclic
Yann Schepens,yann schepens,Onepoint
Sonia Seddiki,sonia seddiki,
Raphaël Semeteys,raphael semeteys,Worldline
